SampleID 	Mouse 	Cage	Day	Gender	Co_Housed	Genotype	Treatment_Grp	Colonization630_stat	Treatment_1	Treatment_2	Year
151D0	151	15	0	male	yes	RAG	Naive_VPI	uncolonized	mock	VPI	2014
151D1	151	15	1	male	yes	RAG	Naive_VPI	uncolonized	mock	VPI	2014
151D10	151	15	10	male	yes	RAG	Naive_VPI	uncolonized	mock	VPI	2014
151D16	151	15	16	male	yes	RAG	Naive_VPI	uncolonized	mock	VPI	2014
151D22	151	15	22	male	yes	RAG	Naive_VPI	uncolonized	mock	VPI	2014
151D4	151	15	4	male	yes	RAG	Naive_VPI	uncolonized	mock	VPI	2014
151D44	151	15	44	male	yes	RAG	Naive_VPI	uncolonized	mock	VPI	2014
151D7	151	15	7	male	yes	RAG	Naive_VPI	uncolonized	mock	VPI	2014
151Dneg15	151	15	-15	male	yes	RAG	Naive_VPI	uncolonized	mock	VPI	2014
152D0	152	15	0	male	yes	RAG	Naive_VPI	uncolonized	mock	VPI	2014
152D1	152	15	1	male	yes	RAG	Naive_VPI	uncolonized	mock	VPI	2014
152D10	152	15	10	male	yes	RAG	Naive_VPI	uncolonized	mock	VPI	2014
152D16	152	15	16	male	yes	RAG	Naive_VPI	uncolonized	mock	VPI	2014
152D22	152	15	22	male	yes	RAG	Naive_VPI	uncolonized	mock	VPI	2014
152D4	152	15	4	male	yes	RAG	Naive_VPI	uncolonized	mock	VPI	2014
152D44	152	15	44	male	yes	RAG	Naive_VPI	uncolonized	mock	VPI	2014
152D7	152	15	7	male	yes	RAG	Naive_VPI	uncolonized	mock	VPI	2014
152Dneg15	152	15	-15	male	yes	RAG	Naive_VPI	uncolonized	mock	VPI	2014
153D0	153	15	0	male	yes	RAG	Naive_VPI	uncolonized	mock	VPI	2014
153D1	153	15	1	male	yes	RAG	Naive_VPI	uncolonized	mock	VPI	2014
153D10	153	15	10	male	yes	RAG	Naive_VPI	uncolonized	mock	VPI	2014
153D16	153	15	16	male	yes	RAG	Naive_VPI	uncolonized	mock	VPI	2014
153D22	153	15	22	male	yes	RAG	Naive_VPI	uncolonized	mock	VPI	2014
153D4	153	15	4	male	yes	RAG	Naive_VPI	uncolonized	mock	VPI	2014
153D44	153	15	44	male	yes	RAG	Naive_VPI	uncolonized	mock	VPI	2014
153D7	153	15	7	male	yes	RAG	Naive_VPI	uncolonized	mock	VPI	2014
153Dneg15	153	15	-15	male	yes	RAG	Naive_VPI	uncolonized	mock	VPI	2014
154D0	154	15	0	male	yes	RAG	Naive_VPI	uncolonized	mock	VPI	2014
154D1	154	15	1	male	yes	RAG	Naive_VPI	uncolonized	mock	VPI	2014
154D10	154	15	10	male	yes	RAG	Naive_VPI	uncolonized	mock	VPI	2014
154D16	154	15	16	male	yes	RAG	Naive_VPI	uncolonized	mock	VPI	2014
154D22	154	15	22	male	yes	RAG	Naive_VPI	uncolonized	mock	VPI	2014
154D4	154	15	4	male	yes	RAG	Naive_VPI	uncolonized	mock	VPI	2014
154D44	154	15	44	male	yes	RAG	Naive_VPI	uncolonized	mock	VPI	2014
154D7	154	15	7	male	yes	RAG	Naive_VPI	uncolonized	mock	VPI	2014
154Dneg15	154	15	-15	male	yes	RAG	Naive_VPI	uncolonized	mock	VPI	2014
161D0	161	16	0	male	yes	RAG	630_VPI	cleared	630	VPI	2014
161D1	161	16	1	male	yes	RAG	630_VPI	cleared	630	VPI	2014
161D10	161	16	10	male	yes	RAG	630_VPI	cleared	630	VPI	2014
161D16	161	16	16	male	yes	RAG	630_VPI	cleared	630	VPI	2014
161D22	161	16	22	male	yes	RAG	630_VPI	cleared	630	VPI	2014
161D4	161	16	4	male	yes	RAG	630_VPI	cleared	630	VPI	2014
161D44	161	16	44	male	yes	RAG	630_VPI	cleared	630	VPI	2014
161D7	161	16	7	male	yes	RAG	630_VPI	cleared	630	VPI	2014
161Dneg15	161	16	-15	male	yes	RAG	630_VPI	cleared	630	VPI	2014
162D0	162	16	0	male	yes	RAG	630_VPI	cleared	630	VPI	2014
162D1	162	16	1	male	yes	RAG	630_VPI	cleared	630	VPI	2014
162D10	162	16	10	male	yes	RAG	630_VPI	cleared	630	VPI	2014
162D16	162	16	16	male	yes	RAG	630_VPI	cleared	630	VPI	2014
162D22	162	16	22	male	yes	RAG	630_VPI	cleared	630	VPI	2014
162D4	162	16	4	male	yes	RAG	630_VPI	cleared	630	VPI	2014
162D44	162	16	44	male	yes	RAG	630_VPI	cleared	630	VPI	2014
162D7	162	16	7	male	yes	RAG	630_VPI	cleared	630	VPI	2014
162Dneg15	162	16	-15	male	yes	RAG	630_VPI	cleared	630	VPI	2014
163D0	163	16	0	male	yes	RAG	630_VPI	cleared	630	VPI	2014
163D1	163	16	1	male	yes	RAG	630_VPI	cleared	630	VPI	2014
163D10	163	16	10	male	yes	RAG	630_VPI	cleared	630	VPI	2014
163D16	163	16	16	male	yes	RAG	630_VPI	cleared	630	VPI	2014
163D22	163	16	22	male	yes	RAG	630_VPI	cleared	630	VPI	2014
163D4	163	16	4	male	yes	RAG	630_VPI	cleared	630	VPI	2014
163D44	163	16	44	male	yes	RAG	630_VPI	cleared	630	VPI	2014
163D7	163	16	7	male	yes	RAG	630_VPI	cleared	630	VPI	2014
163Dneg15	163	16	-15	male	yes	RAG	630_VPI	cleared	630	VPI	2014
164D0	164	16	0	male	yes	RAG	630_VPI	cleared	630	VPI	2014
164D1	164	16	1	male	yes	RAG	630_VPI	cleared	630	VPI	2014
164D10	164	16	10	male	yes	RAG	630_VPI	cleared	630	VPI	2014
164D16	164	16	16	male	yes	RAG	630_VPI	cleared	630	VPI	2014
164D22	164	16	22	male	yes	RAG	630_VPI	cleared	630	VPI	2014
164D4	164	16	4	male	yes	RAG	630_VPI	cleared	630	VPI	2014
164D44	164	16	44	male	yes	RAG	630_VPI	cleared	630	VPI	2014
164D7	164	16	7	male	yes	RAG	630_VPI	cleared	630	VPI	2014
164Dneg15	164	16	-15	male	yes	RAG	630_VPI	cleared	630	VPI	2014
173D0	173	17	0	female	yes	RAG	Naive_VPI	uncolonized	mock	VPI	2014
173D1	173	17	1	female	yes	RAG	Naive_VPI	uncolonized	mock	VPI	2014
173D10	173	17	10	female	yes	RAG	Naive_VPI	uncolonized	mock	VPI	2014
173D16	173	17	16	female	yes	RAG	Naive_VPI	uncolonized	mock	VPI	2014
173D22	173	17	22	female	yes	RAG	Naive_VPI	uncolonized	mock	VPI	2014
173D4	173	17	4	female	yes	RAG	Naive_VPI	uncolonized	mock	VPI	2014
173D44	173	17	44	female	yes	RAG	Naive_VPI	uncolonized	mock	VPI	2014
173D7	173	17	7	female	yes	RAG	Naive_VPI	uncolonized	mock	VPI	2014
173Dneg15	173	17	-15	female	yes	RAG	Naive_VPI	uncolonized	mock	VPI	2014
174D0	174	17	0	female	yes	RAG	Naive_VPI	uncolonized	mock	VPI	2014
174D1	174	17	1	female	yes	RAG	Naive_VPI	uncolonized	mock	VPI	2014
174D10	174	17	10	female	yes	RAG	Naive_VPI	uncolonized	mock	VPI	2014
