Mouse	Cage	Gender	Co_Housed	Genotype	Treatment_Grp	Treatment_1	Treatment_2	Colonization_stat	Day	CFU_g	Experiment
1500_1	1500	female	no	WT	donor_mock	mock	NA	uncolonized	1	0.00E+00	2016
1500_2	1500	female	no	WT	donor_mock	mock	NA	uncolonized	1	0.00E+00	2016
1500_3	1500	female	no	WT	donor_mock	mock	NA	uncolonized	1	0.00E+00	2016
1500_4	1500	female	no	WT	donor_mock	mock	NA	uncolonized	1	0.00E+00	2016
1500_5	1500	female	no	WT	donor_mock	mock	NA	uncolonized	1	2.60E+07	2016
1502_1	1502	female	no	WT	donor_630	630	NA	colonized	1	2.60E+07	2016
1502_2	1502	female	no	WT	donor_630	630	NA	colonized	1	2.10E+07	2016
1502_3	1502	female	no	WT	donor_630	630	NA	colonized	1	3.70E+07	2016
1502_4	1502	female	no	WT	donor_630	630	NA	colonized	1	1.75E+08	2016
1502_5	1502	female	no	WT	donor_630	630	NA	colonized	1	6.70E+07	2016
1500_1	1500	female	no	WT	donor_mock	mock	NA	uncolonized	3	0.00E+00	2016
1500_2	1500	female	no	WT	donor_mock	mock	NA	uncolonized	3	0.00E+00	2016
1500_3	1500	female	no	WT	donor_mock	mock	NA	uncolonized	3	0.00E+00	2016
1500_4	1500	female	no	WT	donor_mock	mock	NA	uncolonized	3	0.00E+00	2016
1500_5	1500	female	no	WT	donor_mock	mock	NA	uncolonized	3	0.00E+00	2016
1502_1	1502	female	no	WT	donor_630	630	NA	colonized	3	1.10E+08	2016
1502_2	1502	female	no	WT	donor_630	630	NA	colonized	3	1.98E+08	2016
1502_3	1502	female	no	WT	donor_630	630	NA	colonized	3	2.12E+08	2016
1502_4	1502	female	no	WT	donor_630	630	NA	colonized	3	7.70E+07	2016
1502_5	1502	female	no	WT	donor_630	630	NA	colonized	3	1.12E+08	2016
1500_1	1500	female	no	WT	donor_mock	mock	NA	uncolonized	6	0.00E+00	2016
1500_2	1500	female	no	WT	donor_mock	mock	NA	uncolonized	6	0.00E+00	2016
1500_3	1500	female	no	WT	donor_mock	mock	NA	uncolonized	6	0.00E+00	2016
1500_4	1500	female	no	WT	donor_mock	mock	NA	uncolonized	6	0.00E+00	2016
1500_5	1500	female	no	WT	donor_mock	mock	NA	uncolonized	6	0.00E+00	2016
1502_1	1502	female	no	WT	donor_630	630	NA	colonized	6	1.03E+08	2016
1502_2	1502	female	no	WT	donor_630	630	NA	colonized	6	8.60E+07	2016
1502_3	1502	female	no	WT	donor_630	630	NA	colonized	6	1.40E+07	2016
1502_4	1502	female	no	WT	donor_630	630	NA	colonized	6	3.40E+07	2016
1502_5	1502	female	no	WT	donor_630	630	NA	colonized	6	2.00E+07	2016
