Samples	Cage	Mouse	Day	Gender	Co_Housed	Genotype	Treatment_Grp	Treatment_1	Treatment_2	Colonization_stat
1431D1	143	1431	1	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared
1431D21	143	1431	21	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared
1431D6	143	1431	6	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared
1432D1	143	1432	1	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared
1432D21	143	1432	21	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared
1432D6	143	1432	6	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared
1432Dneg12	143	1432	-12	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared
1433D1	143	1433	1	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared
1433D21	143	1433	21	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared
1433D6	143	1433	6	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared
1433Dneg12	143	1433	-12	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared
1434D1	143	1434	1	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared
1434D21	143	1434	21	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared
1434D6	143	1434	6	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared
1434Dneg12	143	1434	-12	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared
1441D1	144	1441	1	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized
1441D21	144	1441	21	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized
1441D6	144	1441	6	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized
1441Dneg12	144	1441	-12	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized
1442D1	144	1442	1	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized
1442D21	144	1442	21	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized
1442D6	144	1442	6	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized
1442Dneg12	144	1442	-12	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized
1443D1	144	1443	1	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized
1443D21	144	1443	21	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized
1443D6	144	1443	6	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized
1443Dneg12	144	1443	-12	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized
1444D1	144	1444	1	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized
1444D21	144	1444	21	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized
1444D6	144	1444	6	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized
1444Dneg12	144	1444	-12	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized
1451D1	145	1451	1	male	no	RAG	630_vehicle	630	vehicle	colonized
1451D21	145	1451	21	male	no	RAG	630_vehicle	630	vehicle	colonized
1451D6	145	1451	6	male	no	RAG	630_vehicle	630	vehicle	colonized
1452D1	145	1452	1	male	no	RAG	630_vehicle	630	vehicle	colonized
1452D21	145	1452	21	male	no	RAG	630_vehicle	630	vehicle	colonized
1452D6	145	1452	6	male	no	RAG	630_vehicle	630	vehicle	colonized
1452Dneg12	145	1452	-12	male	no	RAG	630_vehicle	630	vehicle	colonized
1453D1	145	1453	1	male	no	RAG	630_vehicle	630	vehicle	colonized
1453D21	145	1453	21	male	no	RAG	630_vehicle	630	vehicle	colonized
1453D6	145	1453	6	male	no	RAG	630_vehicle	630	vehicle	colonized
1454D1	145	1454	1	male	no	RAG	630_vehicle	630	vehicle	colonized
1454D21	145	1454	21	male	no	RAG	630_vehicle	630	vehicle	colonized
1454D6	145	1454	6	male	no	RAG	630_vehicle	630	vehicle	colonized
1454Dneg12	145	1454	-12	male	no	RAG	630_vehicle	630	vehicle	colonized
1461D1	146	1461	1	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized
1461D21	146	1461	21	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized
1461D6	146	1461	6	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized
1461Dneg12	146	1461	-12	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized
1462D1	146	1462	1	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized
1462D21	146	1462	21	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized
1462D6	146	1462	6	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized
1471D1	147	1471	1	female	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized
1471D21	147	1471	21	female	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized
1471D6	147	1471	6	female	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized
1471Dneg12	147	1471	-12	female	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized
1472D1	147	1472	1	female	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized
1472D21	147	1472	21	female	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized
1472D6	147	1472	6	female	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized
1472Dneg12	147	1472	-12	female	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized
1501D1	150A	1501	1	female	no	RAG	630_vehicle	630	vehicle	colonized
1501D21	150A	1501	21	female	no	RAG	630_vehicle	630	vehicle	colonized
1501D6	150A	1501	6	female	no	RAG	630_vehicle	630	vehicle	colonized
1501Dneg12	150A	1501	-12	female	no	RAG	630_vehicle	630	vehicle	colonized
1502D1	150A	1502	1	female	no	RAG	630_vehicle	630	vehicle	colonized
1502D21	150A	1502	21	female	no	RAG	630_vehicle	630	vehicle	colonized
1502D6	150A	1502	6	female	no	RAG	630_vehicle	630	vehicle	colonized
1503D1	150	1503	1	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized
1503D21	150	1503	21	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized
1503D6	150	1503	6	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized
1503Dneg12	150	1503	-12	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized
1504D1	150	1504	1	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized
1504D21	150	1504	21	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized
1504D6	150	1504	6	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized
1504Dneg12	150	1504	-12	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized
1505D1	150	1505	1	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized
1505D21	150	1505	21	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized
1505D6	150	1505	6	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized
1505Dneg12	150	1505	-12	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized
