Mouse	Cage	Gender	Co_Housed	Genotype	Treatment_Grp	Treatment_1	Treatment_2	Colonization_stat	Day	AntitoxinA_IgG_Titer	Experiment
145_1	145	male	no	RAG	630_vehicle	630	vehicle	colonized	26	0	2016
145_2	145	male	no	RAG	630_vehicle	630	vehicle	colonized	26	0	2016
145_3	145	male	no	RAG	630_vehicle	630	vehicle	colonized	26	0	2016
145_4	145	male	no	RAG	630_vehicle	630	vehicle	colonized	26	0	2016
144_1	144	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	26	0	2016
144_2	144	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	26	0	2016
144_3	144	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	26	0	2016
144_4	144	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	26	0	2016
147_1	147	female	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	26	0	2016
147_2	147	female	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	26	0	2016
143_1	143	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared	26	50	2016
143_2	143	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared	26	0	2016
143_3	143	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared	26	0	2016
143_4	143	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared	26	50	2016
146_1	146	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	26	50	2016
146_2	146	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	26	450	2016
150_1	150	female	no	RAG	630_vehicle	630	vehicle	colonized	26	0	2016
150_2	150	female	no	RAG	630_vehicle	630	vehicle	colonized	26	0	2016
150_3	150	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	26	1350	2016
150_4	150	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	26	50	2016
150_5	150	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	26	4050	2016
1500_1	1500	female	no	WT	uninfected_donor	mock	NA	uninfected	24	0	2016
1500_2	1500	female	no	WT	uninfected_donor	mock	NA	uninfected	24	0	2016
1500_3	1500	female	no	WT	uninfected_donor	mock	NA	uninfected	24	0	2016
1500_4	1500	female	no	WT	uninfected_donor	mock	NA	uninfected	24	0	2016
1500_5	1500	female	no	WT	uninfected_donor	mock	NA	uninfected	24	0	2016
1502_1	1502	female	no	WT	630_infected_donor	630	NA	colonized	24	NA	2016
1502_2	1502	female	no	WT	630_infected_donor	630	NA	colonized	24	291600	2016
1502_3	1502	female	no	WT	630_infected_donor	630	NA	colonized	24	97200	2016
1502_4	1502	female	no	WT	630_infected_donor	630	NA	colonized	24	97200	2016
1502_5	1502	female	no	WT	630_infected_donor	630	NA	colonized	24	97200	2016
