Mouse	Cage	Gender	Co_Housed	Genotype	Treatment_Grp	Treatment_1	Treatment_2	Colonization_stat	Day	CFU_g	Experiment
143_1	143	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared	1	2.00E+07	2016
143_1	143	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared	3	1.31E+08	2016
143_1	143	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared	6	4.20E+06	2016
143_1	143	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared	9	0.00E+00	2016
143_1	143	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared	12	0.00E+00	2016
143_1	143	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared	14	0.00E+00	2016
143_1	143	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared	16	0.00E+00	2016
143_1	143	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared	21	0.00E+00	2016
143_1	143	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared	26	0.00E+00	2016
143_2	143	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared	1	0.00E+00	2016
143_2	143	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared	3	3.20E+03	2016
143_2	143	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared	6	0.00E+00	2016
143_2	143	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared	9	0.00E+00	2016
143_2	143	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared	12	0.00E+00	2016
143_2	143	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared	14	0.00E+00	2016
143_2	143	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared	16	0.00E+00	2016
143_2	143	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared	21	0.00E+00	2016
143_2	143	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared	26	0.00E+00	2016
143_3	143	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared	1	8.30E+06	2016
143_3	143	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared	3	3.10E+07	2016
143_3	143	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared	6	1.00E+05	2016
143_3	143	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared	9	0.00E+00	2016
143_3	143	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared	12	0.00E+00	2016
143_3	143	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared	14	0.00E+00	2016
143_3	143	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared	16	0.00E+00	2016
143_3	143	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared	21	0.00E+00	2016
143_3	143	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared	26	0.00E+00	2016
143_4	143	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared	1	1.55E+07	2016
143_4	143	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared	3	9.50E+07	2016
143_4	143	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared	6	1.00E+05	2016
143_4	143	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared	9	0.00E+00	2016
143_4	143	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared	12	0.00E+00	2016
143_4	143	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared	14	0.00E+00	2016
143_4	143	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared	16	0.00E+00	2016
143_4	143	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared	21	0.00E+00	2016
143_4	143	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared	26	0.00E+00	2016
144_1	144	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	1	1.00E+07	2016
144_1	144	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	3	2.80E+08	2016
144_1	144	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	6	4.10E+07	2016
144_1	144	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	9	2.90E+06	2016
144_1	144	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	12	3.70E+05	2016
144_1	144	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	14	1.02E+06	2016
144_1	144	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	16	1.16E+06	2016
144_1	144	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	21	1.53E+06	2016
144_1	144	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	26	4.60E+05	2016
144_2	144	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	1	4.30E+07	2016
144_2	144	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	3	4.00E+08	2016
144_2	144	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	6	6.30E+07	2016
144_2	144	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	9	2.00E+06	2016
144_2	144	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	12	1.10E+05	2016
144_2	144	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	14	1.20E+06	2016
144_2	144	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	16	1.23E+06	2016
144_2	144	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	21	2.73E+06	2016
144_2	144	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	26	2.90E+05	2016
144_3	144	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	1	2.20E+07	2016
144_3	144	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	3	1.63E+08	2016
144_3	144	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	6	1.03E+07	2016
144_3	144	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	9	4.30E+06	2016
144_3	144	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	12	1.01E+06	2016
144_3	144	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	14	9.90E+05	2016
144_3	144	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	16	1.23E+06	2016
144_3	144	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	21	3.90E+05	2016
144_3	144	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	26	2.80E+05	2016
144_4	144	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	1	1.13E+07	2016
144_4	144	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	3	1.10E+08	2016
144_4	144	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	6	6.10E+07	2016
144_4	144	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	9	3.30E+06	2016
144_4	144	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	12	1.30E+06	2016
144_4	144	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	14	1.34E+06	2016
144_4	144	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	16	NA	2016
144_4	144	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	21	2.72E+06	2016
144_4	144	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	26	2.00E+05	2016
145_1	145	male	no	RAG	630_vehicle	630	vehicle	colonized	1	6.50E+07	2016
145_1	145	male	no	RAG	630_vehicle	630	vehicle	colonized	3	1.49E+08	2016
145_1	145	male	no	RAG	630_vehicle	630	vehicle	colonized	6	1.45E+08	2016
145_1	145	male	no	RAG	630_vehicle	630	vehicle	colonized	9	2.90E+07	2016
145_1	145	male	no	RAG	630_vehicle	630	vehicle	colonized	12	9.90E+06	2016
145_1	145	male	no	RAG	630_vehicle	630	vehicle	colonized	14	3.00E+05	2016
145_1	145	male	no	RAG	630_vehicle	630	vehicle	colonized	16	4.60E+05	2016
145_1	145	male	no	RAG	630_vehicle	630	vehicle	colonized	21	5.70E+06	2016
145_1	145	male	no	RAG	630_vehicle	630	vehicle	colonized	26	2.80E+06	2016
145_2	145	male	no	RAG	630_vehicle	630	vehicle	colonized	1	3.00E+07	2016
145_2	145	male	no	RAG	630_vehicle	630	vehicle	colonized	3	4.30E+07	2016
145_2	145	male	no	RAG	630_vehicle	630	vehicle	colonized	6	6.20E+07	2016
145_2	145	male	no	RAG	630_vehicle	630	vehicle	colonized	9	2.80E+06	2016
145_2	145	male	no	RAG	630_vehicle	630	vehicle	colonized	12	2.60E+07	2016
145_2	145	male	no	RAG	630_vehicle	630	vehicle	colonized	14	4.20E+06	2016
145_2	145	male	no	RAG	630_vehicle	630	vehicle	colonized	16	6.10E+06	2016
145_2	145	male	no	RAG	630_vehicle	630	vehicle	colonized	21	8.20E+06	2016
145_2	145	male	no	RAG	630_vehicle	630	vehicle	colonized	26	5.40E+05	2016
145_3	145	male	no	RAG	630_vehicle	630	vehicle	colonized	1	3.90E+07	2016
145_3	145	male	no	RAG	630_vehicle	630	vehicle	colonized	3	8.00E+07	2016
145_3	145	male	no	RAG	630_vehicle	630	vehicle	colonized	6	2.10E+07	2016
145_3	145	male	no	RAG	630_vehicle	630	vehicle	colonized	9	2.30E+06	2016
145_3	145	male	no	RAG	630_vehicle	630	vehicle	colonized	12	7.30E+07	2016
145_3	145	male	no	RAG	630_vehicle	630	vehicle	colonized	14	2.90E+06	2016
145_3	145	male	no	RAG	630_vehicle	630	vehicle	colonized	16	7.70E+06	2016
145_3	145	male	no	RAG	630_vehicle	630	vehicle	colonized	21	1.37E+07	2016
145_3	145	male	no	RAG	630_vehicle	630	vehicle	colonized	26	3.60E+06	2016
145_4	145	male	no	RAG	630_vehicle	630	vehicle	colonized	1	3.50E+07	2016
145_4	145	male	no	RAG	630_vehicle	630	vehicle	colonized	3	5.40E+07	2016
145_4	145	male	no	RAG	630_vehicle	630	vehicle	colonized	6	5.70E+07	2016
145_4	145	male	no	RAG	630_vehicle	630	vehicle	colonized	9	8.30E+06	2016
145_4	145	male	no	RAG	630_vehicle	630	vehicle	colonized	12	NA	2016
145_4	145	male	no	RAG	630_vehicle	630	vehicle	colonized	14	1.40E+06	2016
145_4	145	male	no	RAG	630_vehicle	630	vehicle	colonized	16	3.00E+06	2016
145_4	145	male	no	RAG	630_vehicle	630	vehicle	colonized	21	7.10E+06	2016
145_4	145	male	no	RAG	630_vehicle	630	vehicle	colonized	26	1.36E+06	2016
146_1	146	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	1	2.20E+07	2016
146_1	146	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	3	8.80E+07	2016
146_1	146	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	6	9.80E+07	2016
146_1	146	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	9	3.30E+07	2016
146_1	146	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	12	7.90E+07	2016
146_1	146	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	14	5.30E+06	2016
146_1	146	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	16	4.50E+07	2016
146_1	146	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	21	5.30E+07	2016
146_1	146	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	26	1.72E+07	2016
146_2	146	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	1	1.34E+07	2016
146_2	146	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	3	1.14E+08	2016
146_2	146	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	6	1.38E+08	2016
146_2	146	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	9	6.70E+07	2016
146_2	146	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	12	3.80E+07	2016
146_2	146	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	14	1.10E+08	2016
146_2	146	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	16	4.40E+07	2016
146_2	146	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	21	1.94E+07	2016
146_2	146	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	26	3.50E+07	2016
147_1	147	female	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	1	1.60E+07	2016
147_1	147	female	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	3	9.10E+07	2016
147_1	147	female	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	6	2.10E+07	2016
147_1	147	female	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	9	3.50E+06	2016
147_1	147	female	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	12	8.10E+07	2016
147_1	147	female	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	14	2.30E+07	2016
147_1	147	female	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	16	7.30E+08	2016
147_1	147	female	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	21	3.30E+08	2016
147_1	147	female	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	26	1.90E+07	2016
147_2	147	female	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	1	1.90E+07	2016
147_2	147	female	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	3	8.30E+07	2016
147_2	147	female	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	6	9.80E+07	2016
147_2	147	female	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	9	1.17E+07	2016
147_2	147	female	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	12	1.03E+08	2016
147_2	147	female	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	14	6.00E+07	2016
147_2	147	female	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	16	3.30E+07	2016
147_2	147	female	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	21	8.70E+07	2016
147_2	147	female	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	26	4.70E+06	2016
150_1	150A	female	no	RAG	630_vehicle	630	vehicle	colonized	1	0.00E+00	2016
150_1	150A	female	no	RAG	630_vehicle	630	vehicle	colonized	3	5.20E+07	2016
150_1	150A	female	no	RAG	630_vehicle	630	vehicle	colonized	6	8.30E+07	2016
150_1	150A	female	no	RAG	630_vehicle	630	vehicle	colonized	9	2.10E+07	2016
