Mouse	Cage	Gender	Co_Housed	Genotype	Treatment_Grp	Treatment_1	Treatment_2	Colonization_stat	Day	Total_IgG	Experiment
145_1	145	male	no	RAG	630_vehicle	630	vehicle	colonized	26	0	2016
145_2	145	male	no	RAG	630_vehicle	630	vehicle	colonized	26	0	2016
145_3	145	male	no	RAG	630_vehicle	630	vehicle	colonized	26	0	2016
145_4	145	male	no	RAG	630_vehicle	630	vehicle	colonized	26	0	2016
144_1	144	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	26	3925.488	2016
144_2	144	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	26	7868.123	2016
144_3	144	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	26	4947.792	2016
144_4	144	male	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	26	0	2016
147_1	147	female	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	26	6886.928	2016
147_2	147	female	no	RAG	630_mock_splenocytes	630	mock_splenocytes	colonized	26	5807.772	2016
143_1	143	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared	26	4650.538	2016
143_2	143	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared	26	4141.771	2016
143_3	143	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared	26	0	2016
143_4	143	male	no	RAG	630_infected_splenocytes	630	infected_splenocytes	cleared	26	5866.276	2016
146_1	146	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	26	4162.013	2016
146_2	146	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	26	5296.705	2016
150_1	150A	female	no	RAG	630_vehicle	630	vehicle	colonized	26	0.00	2016
150_2	150A	female	no	RAG	630_vehicle	630	vehicle	colonized	26	0.00	2016
150_3	150	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	26	6645.13	2016
150_4	150	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	26	7953.88	2016
150_5	150	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	26	3523.23	2016
